visit_id,port,port_phone_no,port_email,docking_places,date_of_arrival,length_of_stay,charter_id,start_date,duration,yacht_name,type,model,cost,berths,homeport,customer_id,name,email,nationality,phoneno
V101,Genoa,+3984774025,genoa667@genoaadmin.co.it,160,2018-06-17 00:00:00,0,CH-033 ,2018-06-17 00:00:00,7,Serendipity,Monohull,Catalina 350,2995.92,9,Genoa,D13-R20,Jean Harlow,jeanh99@gmail.com,German,005866419887654
V102,Kusadasi,+9045204295,Kusadasi_harbour@hotmail.co.tr,96,2018-06-24 00:00:00,0,CH-032 ,2018-06-24 00:00:00,36,Second Wind,Catamaran,MacGregor 26X,1063.45,8,Kusadasi,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V103,Barcelona,+34(0)8892436767,harbourmaster@barcelona_marina.com,211,2018-06-25 00:00:00,0,CH-027 ,2018-06-25 00:00:00,7,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-101,Bette Davis,bette.davis@ulster.ac.uk,American,41728003
V104,Marmaris,+90(0)62228138,,69,2018-06-27 00:00:00,1,CH-032 ,2018-06-24 00:00:00,36,Second Wind,Catamaran,MacGregor 26X,1063.45,8,Kusadasi,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V105,Perpignan,+3373600125,,88,2018-06-29 00:00:00,1,CH-027 ,2018-06-25 00:00:00,7,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-101,Bette Davis,bette.davis@ulster.ac.uk,American,41728003
V106,Genoa,+3984774025,genoa667@genoaadmin.co.it,160,2018-06-30 00:00:00,1,CH-034 ,2018-06-30 00:00:00,18,Serendipity,Monohull,Catalina 350,2995.92,9,Genoa,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V107,Genoa,+3984774025,genoa667@genoaadmin.co.it,160,2018-07-02 00:00:00,1,CH-036 ,2018-07-02 00:00:00,14,Serenity,Powered,Ranger 28,2294,11,Genoa,D13-42 ,Humphrey Bogart,bogieh@gmail.com,American,07782751839
V108,Paphos,+35788301000,paphosmariana@cyprusports.cy,47,2018-07-04 00:00:00,3,CH-032 ,2018-06-24 00:00:00,36,Second Wind,Catamaran,MacGregor 26X,1063.45,8,Kusadasi,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V109,Monaco,0037788356302,mariana@monacoport.mc,104,2018-07-04 00:00:00,2,CH-034 ,2018-06-30 00:00:00,18,Serendipity,Monohull,Catalina 350,2995.92,9,Genoa,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V110,Barcelona,+34(0)8892436767,harbourmaster@barcelona_marina.com,211,2018-07-05 00:00:00,1,CH-028 ,2018-07-05 00:00:00,21,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-42 ,Humphrey Bogart,bogieh@gmail.com,American,07782751839
V111,Dénia,+90229453883,denia_port@denia_port.com,31,2018-07-06 00:00:00,0,CH-043 ,2018-07-06 00:00:00,10,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V112,St Tropez,,master@sttropezmarina.fr,239,2018-07-07 00:00:00,2,CH-036 ,2018-07-02 00:00:00,14,Serenity,Powered,Ranger 28,2294,11,Genoa,D13-42 ,Humphrey Bogart,bogieh@gmail.com,American,07782751839
V113,Cartagena,+34(0)62045005,,21,2018-07-08 00:00:00,1,CH-043 ,2018-07-06 00:00:00,10,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V114,Palma,+3494955320,,74,2018-07-09 00:00:00,3,CH-028 ,2018-07-05 00:00:00,21,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-42 ,Humphrey Bogart,bogieh@gmail.com,American,07782751839
V115,Marseiles,+3330026016,marseiles_port@france_ports.fr,92,2018-07-10 00:00:00,1,CH-034 ,2018-06-30 00:00:00,18,Serendipity,Monohull,Catalina 350,2995.92,9,Genoa,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V116,Marmaris,+90(0)62228138,,69,2018-07-11 00:00:00,0,CH-030 ,2018-07-11 00:00:00,14,Orion,Powered,Ranger 28,2309.56,9,Marmaris,D13-R20,Jean Harlow,jeanh99@gmail.com,German,005866419887654
V117,Malaga,+3430336117,harbour_master@malagaport.com,198,2018-07-11 00:00:00,3,CH-043 ,2018-07-06 00:00:00,10,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V118,Barcelona,+34(0)8892436767,harbourmaster@barcelona_marina.com,211,2018-07-12 00:00:00,1,CH-039 ,2018-07-12 00:00:00,7,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D13-101,Bette Davis,bette.davis@ulster.ac.uk,American,41728003
V119,Heraklion,,herp@heraklioncity.co.gr,85,2018-07-13 00:00:00,1,CH-032 ,2018-06-24 00:00:00,36,Second Wind,Catamaran,MacGregor 26X,1063.45,8,Kusadasi,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V120,Monaco,0037788356302,mariana@monacoport.mc,104,2018-07-13 00:00:00,1,CH-036 ,2018-07-02 00:00:00,14,Serenity,Powered,Ranger 28,2294,11,Genoa,D13-42 ,Humphrey Bogart,bogieh@gmail.com,American,07782751839
V121,St Tropez,,master@sttropezmarina.fr,239,2018-07-15 00:00:00,1,CH-034 ,2018-06-30 00:00:00,18,Serendipity,Monohull,Catalina 350,2995.92,9,Genoa,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V122,Cartagena,+34(0)62045005,,21,2018-07-16 00:00:00,1,CH-028 ,2018-07-05 00:00:00,21,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-42 ,Humphrey Bogart,bogieh@gmail.com,American,07782751839
V123,Paphos,+35788301000,paphosmariana@cyprusports.cy,47,2018-07-16 00:00:00,2,CH-030 ,2018-07-11 00:00:00,14,Orion,Powered,Ranger 28,2309.56,9,Marmaris,D13-R20,Jean Harlow,jeanh99@gmail.com,German,005866419887654
V124,Athens,+3014936640,paays7@athensport.gr,106,2018-07-19 00:00:00,3,CH-032 ,2018-06-24 00:00:00,36,Second Wind,Catamaran,MacGregor 26X,1063.45,8,Kusadasi,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V125,Heraklion,,herp@heraklioncity.co.gr,85,2018-07-21 00:00:00,1,CH-030 ,2018-07-11 00:00:00,14,Orion,Powered,Ranger 28,2309.56,9,Marmaris,D13-R20,Jean Harlow,jeanh99@gmail.com,German,005866419887654
V126,Valencia,+3483884002,,74,2018-07-22 00:00:00,2,CH-028 ,2018-07-05 00:00:00,21,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-42 ,Humphrey Bogart,bogieh@gmail.com,American,07782751839
V127,Genoa,+3984774025,genoa667@genoaadmin.co.it,160,2018-07-22 00:00:00,1,CH-035 ,2018-07-22 00:00:00,10,Serendipity,Monohull,Catalina 350,2995.92,9,Genoa,D13-R20,Jean Harlow,jeanh99@gmail.com,German,005866419887654
V128,Izmir,009062602105,,93,2018-07-23 00:00:00,1,CH-032 ,2018-06-24 00:00:00,36,Second Wind,Catamaran,MacGregor 26X,1063.45,8,Kusadasi,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V129,Genoa,+3984774025,genoa667@genoaadmin.co.it,160,2018-07-23 00:00:00,0,CH-037 ,2018-07-23 00:00:00,21,Serenity,Powered,Ranger 28,2294,11,Genoa,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V130,Cagliari,+3963660326,ettwu7@gmail.com,40,2018-07-26 00:00:00,1,CH-035 ,2018-07-22 00:00:00,10,Serendipity,Monohull,Catalina 350,2995.92,9,Genoa,D13-R20,Jean Harlow,jeanh99@gmail.com,German,005866419887654
V131,Naples,+3990583686,,132,2018-07-26 00:00:00,1,CH-037 ,2018-07-23 00:00:00,21,Serenity,Powered,Ranger 28,2294,11,Genoa,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V132,Dénia,+90229453883,denia_port@denia_port.com,31,2018-07-29 00:00:00,0,CH-044 ,2018-07-29 00:00:00,35,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V133,Marmaris,+90(0)62228138,,69,2018-07-30 00:00:00,0,CH-031 ,2018-07-30 00:00:00,10,Orion,Powered,Ranger 28,2309.56,9,Marmaris,D13-101,Bette Davis,bette.davis@ulster.ac.uk,American,41728003
V134,Naples,+3990583686,,132,2018-07-30 00:00:00,1,CH-035 ,2018-07-22 00:00:00,10,Serendipity,Monohull,Catalina 350,2995.92,9,Genoa,D13-R20,Jean Harlow,jeanh99@gmail.com,German,005866419887654
V135,Palermo,+3922746104,ggaft4@visitpalermo.co.it,57,2018-07-31 00:00:00,1,CH-037 ,2018-07-23 00:00:00,21,Serenity,Powered,Ranger 28,2294,11,Genoa,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V136,Malaga,+3430336117,harbour_master@malagaport.com,198,2018-08-02 00:00:00,1,CH-044 ,2018-07-29 00:00:00,35,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V137,Heraklion,,herp@heraklioncity.co.gr,85,2018-08-03 00:00:00,1,CH-031 ,2018-07-30 00:00:00,10,Orion,Powered,Ranger 28,2309.56,9,Marmaris,D13-101,Bette Davis,bette.davis@ulster.ac.uk,American,41728003
V138,Barcelona,+34(0)8892436767,harbourmaster@barcelona_marina.com,211,2018-08-05 00:00:00,0,CH-029 ,2018-08-05 00:00:00,14,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-R93,John Wayne,john.wayne@ulster.ac.uk,South African,02890112233
V139,Cagliari,+3963660326,ettwu7@gmail.com,40,2018-08-05 00:00:00,2,CH-037 ,2018-07-23 00:00:00,21,Serenity,Powered,Ranger 28,2294,11,Genoa,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V140,Bodrum,+9099264831,,89,2018-08-06 00:00:00,2,CH-031 ,2018-07-30 00:00:00,10,Orion,Powered,Ranger 28,2309.56,9,Marmaris,D13-101,Bette Davis,bette.davis@ulster.ac.uk,American,41728003
V141,Lisbon,0035144700212,,79,2018-08-07 00:00:00,4,CH-044 ,2018-07-29 00:00:00,35,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V142,Cartagena,+34(0)62045005,,21,2018-08-10 00:00:00,1,CH-029 ,2018-08-05 00:00:00,14,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-R93,John Wayne,john.wayne@ulster.ac.uk,South African,02890112233
V143,Naples,+3990583686,,132,2018-08-10 00:00:00,1,CH-037 ,2018-07-23 00:00:00,21,Serenity,Powered,Ranger 28,2294,11,Genoa,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V144,Barcelona,+34(0)8892436767,harbourmaster@barcelona_marina.com,211,2018-08-10 00:00:00,0,CH-040 ,2018-08-10 00:00:00,10,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V145,St Tropez,,master@sttropezmarina.fr,239,2018-08-13 00:00:00,1,CH-040 ,2018-08-10 00:00:00,10,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V146,Magaluf,,maghar@maghar.com,88,2018-08-15 00:00:00,1,CH-029 ,2018-08-05 00:00:00,14,Mad Hatter,Monohull,Jeanneau 42 DS,869.45,4,Barcelona,D13-R93,John Wayne,john.wayne@ulster.ac.uk,South African,02890112233
V147,Cadiz,+34(0)18128403,,90,2018-08-15 00:00:00,1,CH-044 ,2018-07-29 00:00:00,35,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V148,Montpelier,+33(0)51411947,,79,2018-08-17 00:00:00,1,CH-040 ,2018-08-10 00:00:00,10,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D17-022,Marilyn Monroe,marilyn@hotmail.com,French,+88487618356732
V149,Genoa,+3984774025,genoa667@genoaadmin.co.it,160,2018-08-18 00:00:00,0,CH-038 ,2018-08-18 00:00:00,7,Serenity,Powered,Ranger 28,2294,11,Genoa,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V150,Cannes,+3366295633,cannes.marina@yahoo.com,148,2018-08-22 00:00:00,1,CH-038 ,2018-08-18 00:00:00,7,Serenity,Powered,Ranger 28,2294,11,Genoa,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V151,Tangier,+21245936724,tan778@tangierport.com,63,2018-08-22 00:00:00,2,CH-044 ,2018-07-29 00:00:00,35,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V152,Barcelona,+34(0)8892436767,harbourmaster@barcelona_marina.com,211,2018-08-23 00:00:00,0,CH-041 ,2018-08-23 00:00:00,7,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D13-51 ,Ingrid Bergman,IngridB@hotmail.com,Swedish,02890123456
V153,Kusadasi,+9045204295,Kusadasi_harbour@hotmail.co.tr,96,2018-08-25 00:00:00,0,CH-026 ,2018-08-25 00:00:00,14,Escape,Monohull,Beneteau 373,3016.34,10,Kusadasi,D13-51 ,Ingrid Bergman,IngridB@hotmail.com,Swedish,02890123456
V154,Montpelier,+33(0)51411947,,79,2018-08-27 00:00:00,1,CH-041 ,2018-08-23 00:00:00,7,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D13-51 ,Ingrid Bergman,IngridB@hotmail.com,Swedish,02890123456
